pkey,NobatAmargiri,F2Kol_DJAYGOZIN,F2_D01,F2_D03,F2_D04,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW_Yearly,ActivityStatus
0210217578,2,2,03,3,2,97,04,1,1,2, , ,  , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.63825169774,
0210217579,1,2,01,1,1,67,34,1,1,2, , ,  , ,2,1,2,,1,1, , , , , ,  ,2,92,01,04,2,1,11,00,19,00,7,063,7,063, ,09,09,09,09,09,09,09,063, , ,2, , ,2, , ,7,063,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,114.133107719469,1
0210217579,1,2,02,2,2,67,34,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,114.133107719469,3
0210217579,1,2,03,3,2,98,04,1,1,2, , ,  , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.133107719469,
0210217579,2,2,01,1,1,67,35,1,1,2, , ,  , ,2,1,2,,1,1, , , , , ,  ,2,92,01,04,5,1,11,00,17,00,6,072,6,072, ,12,12,12,12,12,12,00,72 , , ,2, , ,2, , ,6,072,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , , ,   , , , ,107.648063041024,1
0210217579,2,2,02,2,2,67,34,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,2,   , , , ,107.648063041024,3
0210217579,2,2,03,3,2,98,04,1,1,2, , ,  , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.648063041024,
0210217580,1,2,01,1,1,47,54,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,08, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,108.888593804083,3
0210217580,1,2,02,2,2,53,49,1,1,2, , ,  , ,2,2, ,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,108.888593804083,3
0210217580,1,2,03,3,1,72,29,1,1,2, , ,  , ,2,1,4,05,4,1, , , , , ,  ,2,72,45,04,2,1,10,00,14,00,6,054,6,054, ,09,09,09,09,09,09,00,054, , ,2, , ,2, , ,6,054,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,108.888593804083,1
